Filtering_time_step,RMSE_letkf
0.0,3.405570461098714
1.0,3.0900447645716174
2.0,2.8629152059424814
3.0,2.721708958573937
4.0,2.5900800188847226
5.0,2.5203339284423225
6.0,2.464534620693494
7.0,2.3792133171656555
8.0,2.312809235994233
9.0,2.2650631949776394
10.0,2.20267512111148
11.0,2.180706415953463
12.0,2.1481979692628936
13.0,2.063351247250342
14.0,1.9875028514141888
15.0,1.9688252894371514
16.0,1.931622511516136
17.0,1.8904629908761976
18.0,1.8532728456488192
19.0,1.8153718682649236
20.0,1.76180609007061
21.0,1.743562367739728
22.0,1.7098738647218716
23.0,1.7163531751149916
24.0,1.766711904027185
25.0,1.7996957242479399
26.0,1.8284573959628907
27.0,1.8393896649197015
28.0,1.8800537112841191
29.0,1.8927295915750275
30.0,1.9264618171030203
31.0,1.9653671386995129
32.0,1.931420898988389
33.0,1.909423124188559
34.0,1.9176476644538483
35.0,1.9505181899299067
36.0,1.9902400273714393
37.0,2.038189088665763
38.0,2.087423486208818
39.0,2.0727782897056963
40.0,2.1031477800024514
41.0,2.1085751885898034
42.0,2.177101531311099
43.0,2.1550242061107356
44.0,2.1278640989594075
45.0,2.1605730220576223
46.0,2.1417550075497926
47.0,2.1646886784414896
48.0,2.1393867209676953
49.0,2.163537271173845
50.0,2.1292222066208497
51.0,2.1304673601092396
52.0,2.1280565332980044
53.0,2.1819530294840654
54.0,2.1925730427036885
55.0,2.261078789624079
56.0,2.2675985284169187
57.0,2.3053265329042296
58.0,2.3107828612290042
59.0,2.3506505681616474
60.0,2.3232247626568663
61.0,2.3319623909433997
62.0,2.34468353013061
63.0,2.354051187399616
64.0,2.335738697996287
65.0,2.2709203555546917
66.0,2.1979628399981244
67.0,2.179900294973728
68.0,2.1709342035049977
69.0,2.162513544333885
70.0,2.125817707171621
71.0,2.1170793385214983
72.0,2.123260746830247
73.0,2.130396073639649
74.0,2.1188323049557583
75.0,2.0915636925834065
76.0,2.0384762540736707
77.0,2.019531193255233
78.0,1.9823621492693133
79.0,2.003131273292294
80.0,1.9938287107313086
81.0,1.9800401156163134
82.0,1.9946862746413987
83.0,1.9943876114577839
84.0,1.999027649205898
85.0,1.9647325555175743
86.0,1.9658053287475508
87.0,1.9722648184279354
88.0,1.977678973087975
89.0,2.008731954496305
90.0,1.9975996225068455
91.0,2.030404521148171
92.0,2.072550049699158
93.0,2.084634583028411
94.0,2.0789576016514477
95.0,2.051349398363322
96.0,2.0619599808705056
97.0,2.049268035902073
98.0,2.065340699499811
99.0,2.115257745967217
100.0,2.119238910292652
101.0,2.1151853167754573
102.0,2.142835763125723
103.0,2.2090591212112973
104.0,2.2556294779224286
105.0,2.2731044460593486
106.0,2.2543241774636504
107.0,2.2891200715880724
108.0,2.285451349180922
109.0,2.2843822840098955
110.0,2.3163985939333855
111.0,2.341083389483169
112.0,2.363636138924885
113.0,2.3399551603705224
114.0,2.329981222409366
115.0,2.352570891892138
116.0,2.3619219147536303
117.0,2.3539123364487526
118.0,2.311820475329909
119.0,2.287787124825945
120.0,2.3203459905627803
121.0,2.368285716026127
122.0,2.363396173321788
123.0,2.3675561313411393
124.0,2.3911399835353295
125.0,2.4227771116015004
126.0,2.4734260335519704
127.0,2.4682380256467797
128.0,2.447260291228307
129.0,2.4259983211680933
130.0,2.442649667261894
131.0,2.419495756013833
132.0,2.315189161198422
133.0,2.254529713107641
134.0,2.2623702169935616
135.0,2.239489978342099
136.0,2.2337627581450628
137.0,2.211386884172843
138.0,2.1456158218553867
139.0,2.137341143611561
140.0,2.1219963821640944
141.0,2.1179937949163548
142.0,2.106117709531849
143.0,2.138196407011559
144.0,2.123946698730866
145.0,2.1138033298398473
146.0,2.1201580300945735
147.0,2.143477926303548
148.0,2.1472272698929116
149.0,2.1072673162999243
150.0,2.0776913853272583
151.0,2.0806103125158666
152.0,2.10088654386629
153.0,2.125911810640568
154.0,2.1316704822549504
155.0,2.128936207942961
156.0,2.154715110551894
157.0,2.156179343156905
158.0,2.1819500855006626
159.0,2.2036711305539685
160.0,2.2335382577453675
161.0,2.1942816521687205
162.0,2.1912595757366247
